인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
45,45,0.046169788,0.044368091,0.18548638,0.069944166,0.059544395,0.644597648,96.09767089,85.1313247,1.600178833,1.600178833,0.699332886,0.046169788,0.044368091
46,46,0.045761296,0.044015009,0.187232668,0.069329649,0.059036451,0.654890847,96.18392094,85.15325138,1.60002594,1.60002594,0.690159302,0.045761296,0.044015009
47,47,0.045417156,0.043673536,0.188976288,0.06881005,0.058584946,0.665115951,96.16087835,85.14010096,1.60002594,1.60002594,0.690923767,0.045417156,0.043673536
48,48,0.045069055,0.043330465,0.190714878,0.068287851,0.058129715,0.675274087,96.14238512,85.12453436,1.60002594,1.60002594,0.692452698,0.045069055,0.043330465
49,49,0.044668647,0.042980852,0.192402673,0.067682942,0.057657067,0.685299962,96.22152191,85.18699875,1.600178833,1.600178833,0.698415527,0.044668647,0.042980852
50,50,0.04437243,0.042696904,0.194078199,0.067243485,0.057264121,0.695279326,96.2239478,85.15935909,1.60002594,1.60002594,0.693370056,0.04437243,0.042696904
51,51,0.044026369,0.042350293,0.195754275,0.066721324,0.056800966,0.705199684,96.19301958,85.13165282,1.60002594,1.60002594,0.695357666,0.044026369,0.042350293
52,52,0.04367931,0.04205421,0.197379374,0.066200646,0.056376986,0.715023344,96.27947487,85.16077916,1.600178833,1.600178833,0.692452698,0.04367931,0.04205421
53,53,0.04334239,0.041711985,0.199009779,0.065688485,0.055925749,0.72478608,96.23831314,85.13782684,1.600178833,1.600178833,0.686642761,0.04334239,0.041711985
54,54,0.042991974,0.041365872,0.200635881,0.065160789,0.055461902,0.734484967,96.2176618,85.11545499,1.60002594,1.60002594,0.692146912,0.042991974,0.041365872
55,55,0.042695117,0.041081839,0.202249158,0.064717463,0.055077924,0.744124506,96.22140125,85.10519691,1.60002594,1.60002594,0.697192383,0.042695117,0.041081839
56,56,0.042351692,0.040785954,0.203814896,0.064199102,0.054676429,0.753647179,96.30300935,85.16696876,1.60002594,1.60002594,0.699332886,0.042351692,0.040785954
57,57,0.042064334,0.040548965,0.205330266,0.063768173,0.054325174,0.763090178,96.39749621,85.19167343,1.600178833,1.600178833,0.68756012,0.042064334,0.040548965
58,58,0.041780337,0.040206379,0.206904223,0.06333612,0.053880386,0.772545912,96.23277962,85.07055072,1.60002594,1.60002594,0.6990271,0.041780337,0.040206379
59,59,0.041484631,0.039972348,0.208416506,0.062893836,0.053546377,0.781893372,96.35459486,85.13771799,1.60002594,1.60002594,0.686642761,0.041484631,0.039972348
60,60,0.041196938,0.039678989,0.209934455,0.06245755,0.053146134,0.791204788,96.31538454,85.09160742,1.60002594,1.60002594,0.692146912,0.041196938,0.039678989
61,61,0.040909076,0.039388968,0.211454562,0.062021398,0.052756537,0.800469649,96.28417964,85.06183206,1.60002594,1.60002594,0.687865906,0.040909076,0.039388968
62,62,0.040616226,0.039103017,0.212967771,0.061582583,0.052373425,0.809678807,96.27437406,85.04583958,1.60002594,1.60002594,0.686489868,0.040616226,0.039103017
63,63,0.040327331,0.03881606,0.214479041,0.061148268,0.051999114,0.818827961,96.25249139,85.03775476,1.60002594,1.60002594,0.697192383,0.040327331,0.03881606
64,64,0.040032543,0.038581781,0.215929803,0.060706951,0.051676599,0.827858313,96.37604306,85.12468143,1.600331726,1.600331726,0.699638672,0.040032543,0.038581781
65,65,0.039746118,0.038289466,0.217386456,0.06027287,0.051273893,0.836857291,96.33510649,85.0696051,1.60002594,1.60002594,0.693828735,0.039746118,0.038289466
66,66,0.039512186,0.038057455,0.218841187,0.05992179,0.050957648,0.845821433,96.31827301,85.04026238,1.60002594,1.60002594,0.688171692,0.039512186,0.038057455
67,67,0.039224712,0.037822495,0.220243403,0.059485522,0.050627055,0.8546799,96.42517086,85.10819778,1.600178833,1.600178833,0.688783264,0.039224712,0.037822495
68,68,0.038996651,0.037539252,0.221700803,0.059140356,0.050252715,0.863567541,96.26275699,84.97195202,1.600178833,1.600178833,0.690617981,0.038996651,0.037539252
69,69,0.038764152,0.037312833,0.223152123,0.058794083,0.049946743,0.872414881,96.25602565,84.95198945,1.600178833,1.600178833,0.699944458,0.038764152,0.037312833
70,70,0.038479714,0.037083865,0.224547971,0.058367694,0.049633178,0.881149396,96.37250906,85.03535905,1.60002594,1.60002594,0.694746094,0.038479714,0.037083865
71,71,0.038252944,0.03685169,0.225949226,0.058025996,0.049315795,0.889859598,96.33687112,84.9891394,1.60002594,1.60002594,0.692299805,0.038252944,0.03685169
72,72,0.038022887,0.036628417,0.227343697,0.057678968,0.049013315,0.898525251,96.33254899,84.97606056,1.60002594,1.60002594,0.690465088,0.038022887,0.036628417
73,73,0.037810304,0.036413114,0.228740887,0.057359142,0.048716999,0.907167394,96.30473725,84.93327736,1.60002594,1.60002594,0.698109741,0.037810304,0.036413114
74,74,0.037535462,0.036127885,0.230148464,0.056945218,0.04833775,0.915774861,96.25000773,84.88465264,1.60002594,1.60002594,0.6990271,0.037535462,0.036127885
75,75,0.037302605,0.035900762,0.231550306,0.056598883,0.048032032,0.924341712,96.2419719,84.8639222,1.60002594,1.60002594,0.699332886,0.037302605,0.035900762
76,76,0.037017741,0.035669498,0.232898549,0.056165362,0.047713065,0.932794009,96.35784606,84.95105066,1.60002594,1.60002594,0.696733704,0.037017741,0.035669498
77,77,0.036847282,0.035505081,0.23424075,0.055914111,0.047509537,0.941198584,96.35739622,84.96877764,1.600178833,1.600178833,0.697498169,0.036847282,0.035505081
78,78,0.036660325,0.03532158,0.235579495,0.055640526,0.047253717,0.949585392,96.34824574,84.92679847,1.60002594,1.60002594,0.687865906,0.036660325,0.03532158
79,79,0.036371612,0.035081837,0.236869269,0.055196024,0.046926107,0.957855309,96.45389836,85.01718665,1.60002594,1.60002594,0.690617981,0.036371612,0.035081837
80,80,0.036253122,0.034968333,0.238154058,0.055017461,0.046772518,0.966100253,96.45606036,85.01395182,1.60002594,1.60002594,0.691841125,0.036253122,0.034968333
81,81,0.036024228,0.034735047,0.239443238,0.054672478,0.0464579,0.97431483,96.42135101,84.9749304,1.60002594,1.60002594,0.690312195,0.036024228,0.034735047
82,82,0.035846268,0.03461692,0.240672587,0.054408849,0.046283179,0.9824405,96.57049821,85.06553674,1.60002594,1.60002594,0.697956848,0.035846268,0.03461692
83,83,0.035734595,0.034449845,0.241957338,0.054238646,0.046068859,0.990610286,96.40474207,84.93733335,1.600178833,1.600178833,0.69505188,0.035734595,0.034449845
84,84,0.035505933,0.034222374,0.243240896,0.053894007,0.045761726,0.998742567,96.38494564,84.91060254,1.60002594,1.60002594,0.692452698,0.035505933,0.034222374
85,85,0.035333218,0.034054764,0.244519351,0.053632792,0.045546269,1.00682909,96.38172088,84.92242864,1.60002594,1.60002594,0.696580811,0.035333218,0.034054764
86,86,0.035159469,0.033936629,0.245742191,0.053374739,0.045375737,1.014828092,96.5220176,85.01350608,1.600484619,1.600484619,0.697345276,0.035159469,0.033936629
87,87,0.034989721,0.033759084,0.246972828,0.053116835,0.04512835,1.022816577,96.48286157,84.96054023,1.60002594,1.60002594,0.694746094,0.034989721,0.033759084
88,88,0.034872569,0.033646716,0.248198681,0.052944088,0.044973702,1.030786963,96.48476482,84.945654,1.600331726,1.600331726,0.691841125,0.034872569,0.033646716
