인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
48,48,0.073015903,0.069123202,1.364723135,0.111497977,0.095644347,3.129609177,94.66869444,85.78124037,1.60002594,1.60002594,0.695969238,0.073015903,0.069123202
49,49,0.071946983,0.06754014,1.369129977,0.109887048,0.093450063,3.146046162,93.87487473,85.04192698,1.60002594,1.60002594,0.695357666,0.071946983,0.06754014
50,50,0.070035335,0.065848963,1.373316349,0.107004009,0.09110145,3.16194872,94.02248683,85.13835251,1.600484619,1.600484619,0.695204773,0.070035335,0.065848963
51,51,0.068811877,0.064862434,1.377265791,0.105136996,0.089720959,3.177364758,94.26052198,85.33719079,1.600484619,1.600484619,0.699944458,0.068811877,0.064862434
52,52,0.066673252,0.062922251,1.381016793,0.101844693,0.086999908,3.192209542,94.37405398,85.42409611,1.60002594,1.60002594,0.699638672,0.066673252,0.062922251
53,53,0.065036083,0.061682606,1.38437027,0.099409347,0.085254951,3.206363938,94.84366585,85.76150377,1.600331726,1.600331726,0.690159302,0.065036083,0.061682606
54,54,0.064963284,0.060896014,1.38843754,0.099342214,0.084184388,3.221521764,93.73912501,84.74180838,1.60002594,1.60002594,0.688171692,0.064963284,0.060896014
55,55,0.062957183,0.059869227,1.391525497,0.096221353,0.082723192,3.235019924,95.09514845,85.97176178,1.600178833,1.600178833,0.696275024,0.062957183,0.059869227
56,56,0.062037164,0.058699005,1.394863655,0.09481261,0.081088146,3.248744388,94.61909924,85.52464257,1.60002594,1.60002594,0.698109741,0.062037164,0.058699005
57,57,0.059695634,0.056759871,1.397799418,0.091212995,0.078389778,3.261567605,95.08211385,85.94145828,1.60002594,1.60002594,0.699179993,0.059695634,0.056759871
58,58,0.058907218,0.055866437,1.400840199,0.090058728,0.077138068,3.274488265,94.83801587,85.65307356,1.60002594,1.60002594,0.690312195,0.058907218,0.055866437
59,59,0.058180447,0.055184684,1.403835962,0.08892701,0.076130833,3.287284442,94.85091106,85.61047198,1.600178833,1.600178833,0.698109741,0.058180447,0.055184684
60,60,0.059347822,0.05515589,1.408027894,0.090727514,0.076132631,3.301879324,92.93667077,83.91349869,1.60002594,1.60002594,0.688324585,0.059347822,0.05515589
61,61,0.057210811,0.054168645,1.41107006,0.087485835,0.074748538,3.314616622,94.68253297,85.44073224,1.60002594,1.60002594,0.695357666,0.057210811,0.054168645
62,62,0.055944825,0.053174508,1.413840378,0.085530309,0.073354407,3.326792523,95.04812519,85.76422542,1.60002594,1.60002594,0.697651062,0.055944825,0.053174508
63,63,0.053764932,0.051474579,1.416130731,0.082147302,0.071000293,3.337939533,95.74006249,86.43046181,1.60002594,1.60002594,0.699179993,0.053764932,0.051474579
64,64,0.053499653,0.050913751,1.418716633,0.081779946,0.07021048,3.349509,95.16650704,85.85292939,1.600178833,1.600178833,0.697498169,0.053499653,0.050913751
65,65,0.052379394,0.050075361,1.421020665,0.080046186,0.06898004,3.360575145,95.60126148,86.17529954,1.60002594,1.60002594,0.699638672,0.052379394,0.050075361
66,66,0.05454048,0.050326016,1.425235129,0.083414524,0.069395526,3.374594143,92.27277788,83.19357744,1.600178833,1.600178833,0.699332886,0.05454048,0.050326016
67,67,0.052022033,0.049449749,1.427807414,0.079537989,0.068173334,3.385958797,95.05539423,85.71166437,1.600178833,1.600178833,0.696275024,0.052022033,0.049449749
68,68,0.051320263,0.04873167,1.430396007,0.078474271,0.067173301,3.397259768,94.95600114,85.59913924,1.600178833,1.600178833,0.697498169,0.051320263,0.04873167
69,69,0.051039266,0.048488671,1.432946602,0.07806276,0.066842415,3.408480112,95.00268048,85.62650798,1.60002594,1.60002594,0.689547729,0.051039266,0.048488671
70,70,0.050201111,0.047509992,1.435637722,0.076782901,0.065447611,3.419815402,94.63932349,85.23722128,1.60002594,1.60002594,0.697803955,0.050201111,0.047509992
71,71,0.048846629,0.046693664,1.437790687,0.074695248,0.064303117,3.430207533,95.59239797,86.08729336,1.60002594,1.60002594,0.698109741,0.048846629,0.046693664
