인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
44,44,0.043693334,0.042575975,0.096375475,0.06559801,0.051865107,0.664367858,97.44272238,79.06506136,1.600002441,1.600002441,0.699962769,0.043693334,0.042575975
45,45,0.043629456,0.042520215,0.097484716,0.065504122,0.051789054,0.678082925,97.45758629,79.06228308,1.600002441,1.600002441,0.69980957,0.043629456,0.042520215
46,46,0.043569456,0.042464248,0.098589924,0.065417907,0.051714647,0.691786185,97.46334214,79.05273871,1.600002441,1.600002441,0.69980957,0.043569456,0.042464248
47,47,0.043596236,0.042499051,0.099687109,0.065468486,0.051761246,0.705493426,97.48330282,79.06284141,1.600002441,1.600002441,0.699656372,0.043596236,0.042499051
48,48,0.043550883,0.042447242,0.100790751,0.065402589,0.051692842,0.719203172,97.46585788,79.03791467,1.600002441,1.600002441,0.699962769,0.043550883,0.042447242
49,49,0.043500289,0.042399274,0.101891766,0.065330423,0.051628748,0.732904848,97.46894741,79.02711365,1.600002441,1.600002441,0.699503174,0.043500289,0.042399274
50,50,0.043472388,0.042388568,0.102975586,0.065297406,0.051615705,0.746586549,97.50687713,79.04709813,1.600002441,1.600002441,0.69980957,0.043472388,0.042388568
51,51,0.043435003,0.042337919,0.104072669,0.065238828,0.051550273,0.760275105,97.47419517,79.01777809,1.600002441,1.600002441,0.699962769,0.043435003,0.042337919
52,52,0.043403121,0.042310129,0.105165661,0.065191983,0.051513776,0.773953312,97.48176624,79.01857462,1.600002441,1.600002441,0.699503174,0.043403121,0.042310129
53,53,0.043399505,0.042316942,0.106248225,0.065192788,0.051525563,0.787620536,97.50558601,79.03568053,1.600002441,1.600002441,0.699962769,0.043399505,0.042316942
54,54,0.043428726,0.0423371,0.10733985,0.065241381,0.051552506,0.801309412,97.4863971,79.01810969,1.600002441,1.600002441,0.699503174,0.043428726,0.0423371
55,55,0.043404761,0.042306317,0.108438295,0.065205799,0.051512563,0.815002648,97.46929961,78.99997177,1.600002441,1.600002441,0.699656372,0.043404761,0.042306317
56,56,0.043340867,0.042262639,0.109516523,0.065109236,0.051456688,0.828655196,97.51221465,79.03131857,1.600002441,1.600002441,0.699962769,0.043340867,0.042262639
57,57,0.043431922,0.042347792,0.110600654,0.06524738,0.051578071,0.842324505,97.5038384,79.05002588,1.600002441,1.600002441,0.699962769,0.043431922,0.042347792
58,58,0.043433253,0.042339745,0.111694161,0.065248242,0.051569116,0.856003631,97.48232654,79.03525788,1.600002441,1.600002441,0.699656372,0.043433253,0.042339745
